person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,7.853345513376702,1,0.23,N,4
22,108000,RENT,6.0,EDUCATION,B,28000,10.678099305447219,1,0.26,N,4
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,8.010324168792959,1,0.4,N,2
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3
22,240000,OWN,6.0,PERSONAL,B,25000,10.636557805425024,0,0.1,N,2
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2
24,73399,RENT,0.0,VENTURE,D,27000,15.795237852494525,1,0.37,N,3
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3
22,12600,MORTGAGE,4.932234975994954,PERSONAL,A,2000,5.42,1,0.16,N,4
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,15.651714178284385,1,0.61,N,3
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2
24,225000,RENT,0.0,MEDICAL,B,6000,10.56392206903768,0,0.03,N,4
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3
22,12996,OWN,1.0,EDUCATION,B,4750,10.409603039427651,1,0.37,N,3
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2
22,54996,RENT,6.0,EDUCATION,B,25000,10.600761329536642,1,0.45,N,4
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,15.704544916463085,1,0.45,Y,4
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,15.558440613463594,1,0.29,N,3
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,7.897018486327049,0,0.14,N,2
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.405426554211575,0,0.1,N,3
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,18.322854776023913,1,0.42,Y,2
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.410118989413622,1,0.21,N,4
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2
24,192000,RENT,0.0,MEDICAL,C,22000,13.252414549981506,0,0.11,Y,2
21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,N,4
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,7.817993931122337,0,0.08,N,3
22,190000,MORTGAGE,3.0,VENTURE,C,10000,12.936912345382554,0,0.05,N,3
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,13.188576170067801,1,0.32,Y,2
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4
24,185000,MORTGAGE,6.369951591506913,EDUCATION,B,35000,12.42,0,0.19,N,2
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,12.898863919937039,0,0.1,N,4
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,7.71346860273713,0,0.01,N,2
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4
26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,15.743932831115336,1,0.34,Y,4
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3
23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3
24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2
24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3
24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3
24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4
23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3
23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2
22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4
22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4
24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4
24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2
26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4
25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4
23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,12.827437812971247,1,0.41,N,4
24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3
24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3
23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4
23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2
25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,N,4
21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2
26,180000,OWN,2.0,PERSONAL,B,25000,10.99,0,0.14,N,4
24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,N,3
25,180000,OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,Y,4
26,180000,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,N,4
25,180000,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.06,N,2
23,15000,OWN,7.0,MEDICAL,B,4475,10.415514792056378,1,0.3,N,4
23,78000,RENT,2.0,VENTURE,D,25000,16.32,1,0.32,Y,3
25,66300,RENT,3.0,MEDICAL,E,25000,17.93,1,0.32,Y,4
23,90000,RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,N,3
24,79000,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,Y,4
24,91800,RENT,4.0,PERSONAL,C,25000,13.43,0,0.27,Y,3
25,92000,RENT,6.0,HOMEIMPROVEMENT,B,25000,12.69,0,0.27,N,3
24,92000,RENT,1.0,VENTURE,C,25000,12.73,0,0.27,Y,4
23,93600,RENT,3.0,VENTURE,D,25000,15.21,0,0.27,N,4
23,15000,MORTGAGE,1.0,MEDICAL,C,1750,12.68,0,0.12,Y,3
23,70550,RENT,3.0,MEDICAL,F,25000,19.04,1,0.3,Y,4
25,83800,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.95,1,0.3,Y,3
26,175000,MORTGAGE,3.0,VENTURE,A,2600,8.9,0,0.01,N,4
25,175000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8000,7.9,0,0.05,N,2
22,175000,MORTGAGE,6.0,EDUCATION,B,18000,10.400681302118095,0,0.1,N,2
23,175000,MORTGAGE,8.0,PERSONAL,B,21000,11.99,0,0.12,N,3
23,15000,OWN,4.0,DEBTCONSOLIDATION,C,4000,13.98,1,0.27,N,4
23,15000,OWN,4.0,VENTURE,B,4600,10.99,1,0.31,N,2
22,88000,RENT,6.0,DEBTCONSOLIDATION,D,25000,15.58,1,0.28,Y,2
25,74800,RENT,2.0,MEDICAL,B,25000,10.99,1,0.28,N,2
25,88000,RENT,0.0,VENTURE,D,25000,14.96,1,0.28,N,4
25,15000,OWN,2.0,HOMEIMPROVEMENT,D,1750,15.31,0,0.12,Y,4
26,88000,RENT,2.0,VENTURE,D,25000,15.65,1,0.28,N,3
25,100000,RENT,1.0,VENTURE,B,25000,9.33,0,0.25,N,4
23,15000,MORTGAGE,0.0,PERSONAL,C,3600,13.47,1,0.24,N,4
24,102400,RENT,8.0,PERSONAL,B,25000,10.36,0,0.24,N,3
24,92000,RENT,1.0,HOMEIMPROVEMENT,E,25000,16.77,1,0.27,Y,4
23,93000,RENT,0.0,DEBTCONSOLIDATION,D,25000,14.59,1,0.27,Y,2
22,175000,RENT,6.0,VENTURE,C,3500,11.91,0,0.02,Y,2
23,175000,MORTGAGE,3.0,EDUCATION,A,7200,8.38,0,0.04,N,3
25,174708,RENT,9.0,VENTURE,B,9000,10.59,0,0.05,N,3
25,174000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,8800,14.27,0,0.05,N,3
26,174000,RENT,8.0,DEBTCONSOLIDATION,B,12000,12.53,0,0.07,N,4
25,162000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,25000,16.0,1,0.15,Y,3
26,173467,MORTGAGE,10.0,VENTURE,B,10000,11.71,0,0.06,N,4
21,15000,OWN,0.0,HOMEIMPROVEMENT,C,3175,11.54,1,0.21,Y,3
25,96000,RENT,2.0,HOMEIMPROVEMENT,E,25000,15.68,1,0.26,Y,4
21,15120,MORTGAGE,0.0,EDUCATION,B,1500,10.59,0,0.1,N,2
24,97908,RENT,8.0,HOMEIMPROVEMENT,D,25000,12.61,1,0.26,Y,2
26,110000,RENT,3.0,PERSONAL,C,25000,13.234509024032635,0,0.23,Y,2
23,15204,MORTGAGE,7.0,PERSONAL,A,2800,8.49,1,0.18,N,3
25,159600,RENT,0.0,PERSONAL,D,30000,17.27,1,0.19,Y,4
24,171500,RENT,6.0,DEBTCONSOLIDATION,A,18000,8.9,0,0.1,N,4
25,170004,MORTGAGE,3.0,MEDICAL,B,10000,11.11,0,0.06,N,4
24,158004,RENT,0.0,HOMEIMPROVEMENT,D,25000,14.59,1,0.16,Y,2
26,170000,RENT,0.0,VENTURE,B,13000,12.42,0,0.08,N,3
24,83300,RENT,0.0,MEDICAL,D,25000,15.809525923687428,1,0.26,N,2
24,110000,RENT,7.0,HOMEIMPROVEMENT,D,25000,15.7,0,0.23,Y,2
22,15360,OWN,7.0,HOMEIMPROVEMENT,B,2500,12.53,1,0.16,N,3
25,134300,RENT,3.0,MEDICAL,D,5000,16.49,1,0.03,N,2
25,170000,MORTGAGE,2.0,EDUCATION,A,20000,7.49,0,0.12,N,2
22,100580,RENT,6.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.25,Y,2
25,113000,RENT,7.0,MEDICAL,C,25000,12.73,0,0.22,Y,4
24,120000,RENT,8.0,EDUCATION,B,25000,10.65,0,0.21,N,4
25,120000,RENT,6.0,MEDICAL,B,25000,10.74,0,0.21,N,2
23,120000,RENT,7.0,EDUCATION,B,25000,9.99,0,0.21,N,2
24,91800,RENT,5.0,MEDICAL,D,25000,15.33,1,0.23,Y,2
